x-axis,1,2,3
second,Volt,Volt,Volt
-270.00000E-06,-127.09205E-06,-862.76149E-06,-1.79288696E-03
-269.98400E-06,-294.45608E-06,-871.12969E-06,-1.39539741E-03
-269.96800E-06,-106.17155E-06,-791.63178E-06,-1.12343088E-03
-269.95200E-06,+40.27197E-06,-310.46024E-06,-1.43723842E-03
-269.93600E-06,-127.09205E-06,-494.56065E-06,-1.08158987E-03
-269.92000E-06,-205.54394E-06,-720.50207E-06,-1.12343088E-03
-269.90400E-06,-294.45608E-06,-389.95814E-06,-1.43723842E-03
-269.88800E-06,-461.82010E-06,-406.69455E-06,-1.08158987E-03
-269.87200E-06,-273.53557E-06,-318.82844E-06,-1.12343088E-03
-269.85600E-06,-127.09205E-06,-628.45186E-06,-1.08158987E-03
-269.84000E-06,-294.45608E-06,-854.39328E-06,-1.12343088E-03
-269.82400E-06,-195.08369E-06,-381.58994E-06,-1.08158987E-03
-269.80800E-06,-38.17992E-06,-343.93304E-06,-1.12343088E-03
-269.79200E-06,-127.09205E-06,-461.08785E-06,-1.43723842E-03
-269.77600E-06,-27.71967E-06,-753.97488E-06,-1.08158987E-03
-269.76000E-06,-226.46444E-06,-498.74475E-06,-1.12343088E-03
-269.74400E-06,-184.62344E-06,-423.43095E-06,-1.43723842E-03
-269.72800E-06,+218.09624E-06,-657.74057E-06,-1.43723842E-03
-269.71200E-06,+207.63599E-06,-105.43932E-06,-1.43723842E-03
-269.69600E-06,+307.00838E-06,-440.16735E-06,-1.08158987E-03
-269.68000E-06,+197.17574E-06,-996.65270E-06,-767.78233E-06
-269.66400E-06,+228.55649E-06,-791.63178E-06,-412.13378E-06
-269.64800E-06,+552.82428E-06,-737.23847E-06,-453.97479E-06
-269.63200E-06,+364.53976E-06,-728.87027E-06,-767.78233E-06
-269.61600E-06,+307.00838E-06,-808.36818E-06,-412.13378E-06
-269.60000E-06,+286.08787E-06,-720.50207E-06,-809.62334E-06
-269.58400E-06,+129.18410E-06,-745.60668E-06,-1.08158987E-03
-269.56800E-06,+218.09624E-06,-1.00502090E-03,-1.12343088E-03
-269.55200E-06,+296.54813E-06,-712.13387E-06,-1.43723842E-03
-269.53600E-06,+474.37240E-06,-825.10458E-06,-1.43723842E-03
-269.52000E-06,+542.36403E-06,-1.05941420E-03,-1.43723842E-03
-269.50400E-06,+552.82428E-06,-933.89119E-06,-1.43723842E-03
-269.48800E-06,+453.45190E-06,-862.76149E-06,-1.43723842E-03
-269.47200E-06,+385.46026E-06,-515.48116E-06,-1.08158987E-03
-269.45600E-06,+552.82428E-06,-620.08366E-06,-1.12343088E-03
-269.44000E-06,+542.36403E-06,-1.00502090E-03,-1.08158987E-03
-269.42400E-06,+641.73642E-06,-996.65270E-06,-767.78233E-06
-269.40800E-06,+709.72805E-06,-862.76149E-06,-1.12343088E-03
-269.39200E-06,+542.36403E-06,-586.61086E-06,-1.43723842E-03
-269.37600E-06,+552.82428E-06,-825.10458E-06,-1.08158987E-03
-269.36000E-06,+631.27617E-06,-917.15479E-06,-767.78233E-06
-269.34400E-06,+720.18831E-06,-879.49789E-06,-767.78233E-06
