Time,Oven T,Chamber T,Oven output
2021-12-10 12:27:31,33.9,21.04,0
2021-12-10 12:29:36,35.1,21.39,0
2021-12-10 12:31:40,36.4,21.71,0
2021-12-10 12:33:45,37.5,21.87,0
2021-12-10 12:35:50,38.5,21.94,0
2021-12-10 12:37:54,39.6,21.97,0
2021-12-10 12:39:59,40.7,22.25,0
2021-12-10 12:42:03,41.6,22.55,0
2021-12-10 12:44:08,42.6,22.65,0
2021-12-10 12:46:13,43.6,22.91,0
2021-12-10 12:48:17,44.5,23.29,0
2021-12-10 12:50:22,45.4,23.54,0
2021-12-10 12:52:26,46.3,23.82,0
2021-12-10 12:54:31,47.1,24.01,0
2021-12-10 12:56:36,47.9,24.44,0
2021-12-10 12:58:40,48.7,24.59,0
2021-12-10 13:00:45,49.5,25.02,0
2021-12-10 13:02:49,50.2,25.32,0
2021-12-10 13:04:54,51.0,25.47,0
2021-12-10 13:06:59,51.6,25.8,0
2021-12-10 13:09:03,52.3,26.22,0
2021-12-10 13:11:08,53.0,26.53,0
2021-12-10 13:13:12,53.7,26.73,0
2021-12-10 13:15:17,54.3,27.27,0
2021-12-10 13:17:22,54.9,27.43,0
2021-12-10 13:19:26,55.5,27.77,0
2021-12-10 13:21:31,56.0,27.91,0
2021-12-10 13:23:36,56.6,28.57,0
2021-12-10 13:25:40,57.2,28.76,0
2021-12-10 13:27:45,57.7,29.08,0
2021-12-10 13:29:49,58.3,29.54,0
2021-12-10 13:31:54,58.8,29.92,0
2021-12-10 13:33:59,59.3,30.09,0
2021-12-10 13:36:03,59.7,30.56,0
2021-12-10 13:38:08,60.2,31.05,0
2021-12-10 13:40:12,60.7,31.25,0
2021-12-10 13:42:17,61.1,31.43,0
2021-12-10 13:44:22,61.6,31.87,0
2021-12-10 13:46:26,62.0,32.36,0
2021-12-10 13:48:31,62.4,32.6,0
2021-12-10 13:50:36,62.8,33.04,0
2021-12-10 13:52:40,63.2,33.43,0
2021-12-10 13:54:45,63.6,33.61,0
2021-12-10 13:56:49,64.0,33.95,0
2021-12-10 13:58:54,64.3,34.42,0
2021-12-10 14:00:58,64.7,34.68,0
2021-12-10 14:03:03,65.1,35.0,0
2021-12-10 14:05:08,65.4,35.23,0
2021-12-10 14:07:12,65.7,35.75,0
2021-12-10 14:09:17,66.1,36.12,0
2021-12-10 14:11:21,66.4,36.38,0
2021-12-10 14:13:26,66.7,36.7,0
2021-12-10 14:15:31,67.0,37.3,0
2021-12-10 14:17:35,67.3,37.46,0
2021-12-10 14:19:40,67.5,37.69,0
2021-12-10 14:21:44,67.8,38.06,0
2021-12-10 14:23:49,68.1,38.3,0
2021-12-10 14:25:54,68.3,38.62,0
2021-12-10 14:27:58,68.6,39.01,0
2021-12-10 14:30:03,68.8,39.36,0
2021-12-10 14:32:07,69.1,39.49,0
2021-12-10 14:34:12,69.3,39.81,0
