,Guage 1 (hPa),Gauge 2 (hPa)
2021-12-10 12:16:50,3.58e-9,2.5e-9
2021-12-10 12:17:51,5.18e-9,3.26e-9
2021-12-10 12:18:51,5.37e-9,3.25e-9
2021-12-10 12:19:52,5.57e-9,3.33e-9
2021-12-10 12:20:52,5.78e-9,3.4e-9
2021-12-10 12:21:53,6.04e-9,3.45e-9
2021-12-10 12:22:54,6.51e-9,3.61e-9
2021-12-10 12:23:54,7.21e-9,3.87e-9
2021-12-10 12:24:55,8.28e-9,4.23e-9
2021-12-10 12:25:55,9.57e-9,4.64e-9
2021-12-10 12:26:56,1.08e-8,5.04e-9
2021-12-10 12:27:57,1.2e-8,5.47e-9
2021-12-10 12:28:57,1.25e-8,5.64e-9
2021-12-10 12:29:58,1.29e-8,5.84e-9
2021-12-10 12:30:58,1.3e-8,5.97e-9
2021-12-10 12:31:59,1.3e-8,5.99e-9
2021-12-10 12:33:00,1.29e-8,5.98e-9
2021-12-10 12:34:00,1.27e-8,5.99e-9
2021-12-10 12:35:01,1.25e-8,5.98e-9
2021-12-10 12:36:01,1.23e-8,5.92e-9
2021-12-10 12:37:02,1.2e-8,5.85e-9
2021-12-10 12:38:03,1.18e-8,5.78e-9
2021-12-10 12:39:03,1.16e-8,5.75e-9
2021-12-10 12:40:04,1.15e-8,5.72e-9
2021-12-10 12:41:04,1.14e-8,5.66e-9
2021-12-10 12:42:05,1.13e-8,5.64e-9
2021-12-10 12:43:06,1.12e-8,5.57e-9
2021-12-10 12:44:06,1.11e-8,5.58e-9
2021-12-10 12:45:07,1.1e-8,5.56e-9
2021-12-10 12:46:07,1.1e-8,5.53e-9
2021-12-10 12:47:08,1.1e-8,5.53e-9
2021-12-10 12:48:09,1.1e-8,5.53e-9
2021-12-10 12:49:09,1.1e-8,5.56e-9
2021-12-10 12:50:10,1.09e-8,5.53e-9
2021-12-10 12:51:10,1.09e-8,5.52e-9
2021-12-10 12:52:11,1.08e-8,5.52e-9
2021-12-10 12:53:12,1.08e-8,5.53e-9
2021-12-10 12:54:12,1.08e-8,5.5e-9
2021-12-10 12:55:13,1.09e-8,5.52e-9
2021-12-10 12:56:13,1.08e-8,5.54e-9
2021-12-10 12:57:14,1.08e-8,5.53e-9
2021-12-10 12:58:15,1.08e-8,5.51e-9
2021-12-10 12:59:15,1.08e-8,5.54e-9
2021-12-10 13:00:16,1.08e-8,5.52e-9
2021-12-10 13:01:17,1.08e-8,5.56e-9
2021-12-10 13:02:17,1.08e-8,5.54e-9
2021-12-10 13:03:18,1.07e-8,5.55e-9
2021-12-10 13:04:18,1.07e-8,5.53e-9
2021-12-10 13:05:19,1.07e-8,5.51e-9
2021-12-10 13:06:20,1.07e-8,5.54e-9
2021-12-10 13:07:20,1.08e-8,5.55e-9
2021-12-10 13:08:21,1.08e-8,5.54e-9
2021-12-10 13:09:21,1.08e-8,5.54e-9
2021-12-10 13:10:22,1.07e-8,5.55e-9
2021-12-10 13:11:23,1.07e-8,5.55e-9
2021-12-10 13:12:23,1.07e-8,5.56e-9
2021-12-10 13:13:24,1.07e-8,5.58e-9
2021-12-10 13:14:24,1.07e-8,5.59e-9
2021-12-10 13:15:25,1.07e-8,5.58e-9
2021-12-10 13:16:26,1.07e-8,5.59e-9
2021-12-10 13:17:26,1.07e-8,5.59e-9
2021-12-10 13:18:27,1.07e-8,5.61e-9
2021-12-10 13:19:28,1.07e-8,5.6e-9
2021-12-10 13:20:28,1.08e-8,5.62e-9
2021-12-10 13:21:29,1.07e-8,5.63e-9
2021-12-10 13:22:29,1.08e-8,5.63e-9
2021-12-10 13:23:30,1.08e-8,5.64e-9
2021-12-10 13:24:31,1.08e-8,5.64e-9
2021-12-10 13:25:31,1.08e-8,5.64e-9
2021-12-10 13:26:32,1.08e-8,5.67e-9
2021-12-10 13:27:33,1.08e-8,5.69e-9
2021-12-10 13:28:33,1.09e-8,5.7e-9
2021-12-10 13:29:34,1.08e-8,5.71e-9
2021-12-10 13:30:34,1.08e-8,5.72e-9
2021-12-10 13:31:35,1.08e-8,5.69e-9
2021-12-10 13:32:36,1.08e-8,5.69e-9
2021-12-10 13:33:36,1.08e-8,5.71e-9
2021-12-10 13:34:37,1.09e-8,5.75e-9
2021-12-10 13:35:37,1.08e-8,5.73e-9
2021-12-10 13:36:38,1.07e-8,5.72e-9
2021-12-10 13:37:39,1.07e-8,5.69e-9
2021-12-10 13:38:39,1.06e-8,5.66e-9
2021-12-10 13:39:40,1.06e-8,5.65e-9
2021-12-10 13:40:40,1.06e-8,5.63e-9
2021-12-10 13:41:41,1.06e-8,5.64e-9
2021-12-10 13:42:42,1.06e-8,5.65e-9
2021-12-10 13:43:42,1.07e-8,5.66e-9
2021-12-10 13:44:43,1.06e-8,5.67e-9
2021-12-10 13:45:43,1.06e-8,5.66e-9
2021-12-10 13:46:44,1.06e-8,5.64e-9
2021-12-10 13:47:45,1.05e-8,5.61e-9
2021-12-10 13:48:45,1.05e-8,5.64e-9
2021-12-10 13:49:46,1.06e-8,5.63e-9
2021-12-10 13:50:46,1.05e-8,5.63e-9
2021-12-10 13:51:47,1.04e-8,5.61e-9
2021-12-10 13:52:48,1.03e-8,5.59e-9
2021-12-10 13:53:48,1.03e-8,5.54e-9
2021-12-10 13:54:49,1.03e-8,5.56e-9
2021-12-10 13:55:49,1.04e-8,5.59e-9
2021-12-10 13:56:50,1.04e-8,5.6e-9
2021-12-10 13:57:51,1.04e-8,5.6e-9
2021-12-10 13:58:51,1.03e-8,5.58e-9
2021-12-10 13:59:52,1.03e-8,5.58e-9
2021-12-10 14:00:53,1.03e-8,5.56e-9
2021-12-10 14:01:53,1.02e-8,5.54e-9
2021-12-10 14:02:54,1.02e-8,5.54e-9
2021-12-10 14:03:54,1.02e-8,5.54e-9
2021-12-10 14:04:55,1.02e-8,5.55e-9
2021-12-10 14:05:56,1.02e-8,5.55e-9
2021-12-10 14:06:56,1.02e-8,5.52e-9
2021-12-10 14:07:57,1.0e-8,5.49e-9
2021-12-10 14:08:58,1.0e-8,5.46e-9
2021-12-10 14:09:58,9.95e-9,5.45e-9
2021-12-10 14:10:59,9.96e-9,5.45e-9
2021-12-10 14:12:00,9.93e-9,5.45e-9
2021-12-10 14:13:00,9.92e-9,5.42e-9
2021-12-10 14:14:01,9.88e-9,5.41e-9
2021-12-10 14:15:02,9.82e-9,5.41e-9
2021-12-10 14:16:02,9.77e-9,5.38e-9
2021-12-10 14:17:03,9.71e-9,5.34e-9
2021-12-10 14:18:03,9.68e-9,5.34e-9
2021-12-10 14:19:04,9.64e-9,5.32e-9
2021-12-10 14:20:05,9.6e-9,5.31e-9
2021-12-10 14:21:05,9.51e-9,5.28e-9
2021-12-10 14:22:06,9.44e-9,5.24e-9
2021-12-10 14:23:07,9.32e-9,5.21e-9
2021-12-10 14:24:07,9.27e-9,5.16e-9
2021-12-10 14:25:08,9.23e-9,5.16e-9
2021-12-10 14:26:08,9.24e-9,5.15e-9
2021-12-10 14:27:09,9.16e-9,5.12e-9
2021-12-10 14:28:10,9.13e-9,5.13e-9
2021-12-10 14:29:10,9.05e-9,5.07e-9
2021-12-10 14:30:11,9.01e-9,5.06e-9
2021-12-10 14:31:11,8.95e-9,5.01e-9
2021-12-10 14:32:12,8.89e-9,5.02e-9
2021-12-10 14:33:13,8.92e-9,5.02e-9
2021-12-10 14:34:13,8.9e-9,5.0e-9
