x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-3.90000E-03,+5.63561560E+00,+1.49057791E+00,+2.75135055E+00,+2.77415191E+00
-3.87500E-03,+5.87430907E+00,+8.48052758E+00,+2.75135055E+00,+2.77163935E+00
-3.85000E-03,+5.70094224E+00,+1.00565329E+00,+2.78527015E+00,+2.76787051E+00
-3.82500E-03,+5.92707289E+00,+8.48052758E+00,+2.75135055E+00,+2.75153885E+00
-3.80000E-03,+5.83662063E+00,+2.82977388E+00,+2.75135055E+00,+2.73395091E+00
-3.77500E-03,+5.51501259E+00,+1.73178394E+00,+2.75260683E+00,+2.81184036E+00
-3.75000E-03,+5.56526384E+00,+1.28203520E+00,+2.76516965E+00,+2.72766950E+00
-3.72500E-03,+5.72858043E+00,+1.64384424E+00,+2.76265708E+00,+2.74525744E+00
-3.70000E-03,+5.29390706E+00,+3.15891960E+00,+2.75888824E+00,+2.71385041E+00
-3.67500E-03,+5.46978646E+00,+812.18596E-03,+2.75260683E+00,+2.77415191E+00
-3.65000E-03,+5.48988696E+00,+1.76193469E+00,+2.75135055E+00,+2.74777000E+00
-3.62500E-03,+5.58536435E+00,+1.43027640E+00,+2.76265708E+00,+2.72264438E+00
-3.60000E-03,+5.67330404E+00,+2.41017589E+00,+2.77145105E+00,+2.77038307E+00
-3.57500E-03,+5.29893219E+00,+427.76385E-03,+2.77019477E+00,+2.77038307E+00
-3.55000E-03,+5.40948495E+00,+8.48052758E+00,+2.76516965E+00,+2.72766950E+00
-3.52500E-03,+5.93963570E+00,+2.92525126E+00,+2.74883799E+00,+2.74274488E+00
-3.50000E-03,+5.59038947E+00,+8.48052758E+00,+2.76768221E+00,+2.79425242E+00
-3.47500E-03,+5.89440957E+00,+3.10866834E+00,+2.77145105E+00,+2.73269463E+00
-3.45000E-03,+5.30144475E+00,+8.48052758E+00,+2.74506914E+00,+2.76158910E+00
-3.42500E-03,+5.91702263E+00,+2.40766333E+00,+2.77145105E+00,+2.77415191E+00
-3.40000E-03,+5.74365580E+00,+1.27449751E+00,+2.75511939E+00,+2.73771975E+00
-3.37500E-03,+5.77631912E+00,+719.22113E-03,+2.77019477E+00,+2.71385041E+00
-3.35000E-03,+5.85672113E+00,+1.84233670E+00,+2.77773246E+00,+2.74651372E+00
-3.32500E-03,+5.58033922E+00,+1.64133168E+00,+2.78024502E+00,+2.73143835E+00
-3.30000E-03,+5.98737439E+00,+907.66334E-03,+2.77145105E+00,+2.79048357E+00
-3.27500E-03,+5.68084173E+00,+849.87440E-03,+2.79029527E+00,+2.77289563E+00
-3.25000E-03,+5.73611811E+00,+1.16394475E+00,+2.78527015E+00,+2.74148860E+00
-3.22500E-03,+5.85923369E+00,+2.35489951E+00,+2.75135055E+00,+2.75907654E+00
-3.20000E-03,+5.26626887E+00,+2.23178393E+00,+2.76768221E+00,+2.76661423E+00
-3.17500E-03,+5.81149500E+00,+3.15640704E+00,+2.80662693E+00,+2.77289563E+00
-3.15000E-03,+5.72606786E+00,+1.73932163E+00,+2.75135055E+00,+2.78043332E+00
-3.12500E-03,+5.68084173E+00,+8.48052758E+00,+2.77145105E+00,+2.76284538E+00
-3.10000E-03,+6.00998746E+00,+797.11058E-03,+2.78778271E+00,+2.77415191E+00
-3.07500E-03,+5.49239952E+00,+3.11369347E+00,+2.77019477E+00,+2.77415191E+00
-3.05000E-03,+5.90194726E+00,+621.23119E-03,+2.75763196E+00,+2.76033282E+00
-3.02500E-03,+5.89189701E+00,+998.11560E-03,+2.77145105E+00,+2.75656397E+00
-3.00000E-03,+5.33159551E+00,+2.69660805E+00,+2.76768221E+00,+2.73395091E+00
-2.97500E-03,+5.77883168E+00,+2.34736182E+00,+2.77145105E+00,+2.73520719E+00
-2.95000E-03,+5.79390706E+00,+1.18655781E+00,+2.76516965E+00,+2.75405141E+00
-2.92500E-03,+5.24114325E+00,+1.70414575E+00,+2.76265708E+00,+2.78294588E+00
-2.90000E-03,+5.40445983E+00,+565.95480E-03,+2.78778271E+00,+2.74651372E+00
-2.87500E-03,+5.30144475E+00,+3.06092965E+00,+2.77270733E+00,+2.77540820E+00
-2.85000E-03,+5.28888194E+00,+661.43219E-03,+2.75135055E+00,+2.72641322E+00
-2.82500E-03,+6.02255027E+00,+2.82223619E+00,+2.77145105E+00,+2.73143835E+00
-2.80000E-03,+5.27380656E+00,+2.31721107E+00,+2.75135055E+00,+2.80681523E+00
-2.77500E-03,+5.92958545E+00,+2.70917086E+00,+2.75135055E+00,+2.77163935E+00
-2.75000E-03,+5.69340455E+00,+8.48052758E+00,+2.75888824E+00,+2.76033282E+00
-2.72500E-03,+5.78888193E+00,+2.60866835E+00,+2.76014452E+00,+2.71385041E+00
-2.70000E-03,+5.21601762E+00,+4.59359295E+00,+2.77521990E+00,+2.76284538E+00
-2.67500E-03,+5.44968596E+00,+1.42525128E+00,+2.77019477E+00,+2.77163935E+00
-2.65000E-03,+5.41451008E+00,+2.31218594E+00,+2.77145105E+00,+2.76033282E+00
-2.62500E-03,+5.73360555E+00,+1.91520102E+00,+2.77145105E+00,+2.76284538E+00
-2.60000E-03,+5.59290204E+00,+2.81972362E+00,+2.76768221E+00,+2.75405141E+00
-2.57500E-03,+5.44466083E+00,+563.44224E-03,+2.75260683E+00,+2.77038307E+00
-2.55000E-03,+5.81903269E+00,+1.50062816E+00,+2.77773246E+00,+2.74777000E+00
-2.52500E-03,+5.21350505E+00,+2.54082915E+00,+2.78275758E+00,+2.70505644E+00
-2.50000E-03,+5.83410806E+00,+2.84736181E+00,+2.77145105E+00,+2.78294588E+00
-2.47500E-03,+5.46978646E+00,+437.81410E-03,+2.77145105E+00,+2.77415191E+00
-2.45000E-03,+5.79390706E+00,+1.07097992E+00,+2.77145105E+00,+2.76787051E+00
-2.42500E-03,+5.47983671E+00,+8.48052758E+00,+2.77145105E+00,+2.76535794E+00
-2.40000E-03,+6.01501258E+00,+407.66335E-03,+2.75888824E+00,+2.73771975E+00
-2.37500E-03,+5.94968595E+00,+8.48052758E+00,+2.77145105E+00,+2.77289563E+00
-2.35000E-03,+5.87179650E+00,+2.62374373E+00,+2.76516965E+00,+2.72641322E+00
-2.32500E-03,+5.88184676E+00,+8.48052758E+00,+2.76014452E+00,+2.76535794E+00
-2.30000E-03,+5.36677138E+00,+2.11620604E+00,+2.78401387E+00,+2.76661423E+00
-2.27500E-03,+5.69842967E+00,+8.48052758E+00,+2.77145105E+00,+2.79173985E+00
-2.25000E-03,+5.46727390E+00,+395.10053E-03,+2.73753145E+00,+2.73269463E+00
-2.22500E-03,+5.62305279E+00,+1.86494976E+00,+2.76893849E+00,+2.76284538E+00
-2.20000E-03,+6.07028897E+00,+513.19099E-03,+2.75511939E+00,+2.74651372E+00
-2.17500E-03,+5.66325379E+00,+656.40706E-03,+2.75260683E+00,+2.75530769E+00
-2.15000E-03,+5.30395731E+00,+2.31218594E+00,+2.76516965E+00,+2.76158910E+00
-2.12500E-03,+5.48737440E+00,+1.24685932E+00,+2.75386311E+00,+2.77415191E+00
-2.10000E-03,+5.52757540E+00,+548.36686E-03,+2.78778271E+00,+2.76158910E+00
-2.07500E-03,+5.33913319E+00,+643.84425E-03,+2.77145105E+00,+2.77038307E+00
-2.05000E-03,+5.54013822E+00,+3.18404523E+00,+2.75763196E+00,+2.74023232E+00
-2.02500E-03,+5.63059048E+00,+1.76444725E+00,+2.76265708E+00,+2.76535794E+00
-2.00000E-03,+5.97481158E+00,+8.48052758E+00,+2.75135055E+00,+2.76661423E+00
-1.97500E-03,+5.55018847E+00,+749.37189E-03,+2.75135055E+00,+2.77163935E+00
-1.95000E-03,+5.26878144E+00,+8.48052758E+00,+2.75135055E+00,+2.74777000E+00
-1.92500E-03,+5.58787691E+00,+1.67148243E+00,+2.76014452E+00,+2.72515694E+00
-1.90000E-03,+5.52255028E+00,+6.03077887E+00,+2.76768221E+00,+2.76661423E+00
-1.87500E-03,+5.82657037E+00,+3.39258794E+00,+2.77019477E+00,+2.77415191E+00
-1.85000E-03,+5.50998746E+00,+3.42525126E+00,+2.77145105E+00,+2.76787051E+00
-1.82500E-03,+5.53511309E+00,+1.56846736E+00,+2.76265708E+00,+2.73646347E+00
-1.80000E-03,+6.07782665E+00,+3.66645728E+00,+2.78778271E+00,+2.77038307E+00
-1.77500E-03,+5.43963571E+00,+505.65330E-03,+2.75386311E+00,+2.73646347E+00
-1.75000E-03,+5.26375631E+00,+2.31972363E+00,+2.77145105E+00,+2.74651372E+00
-1.72500E-03,+5.63059048E+00,+1.45288947E+00,+2.75135055E+00,+2.73143835E+00
-1.70000E-03,+5.68084173E+00,+1.05339198E+00,+2.77145105E+00,+2.79048357E+00
-1.67500E-03,+5.59290204E+00,+2.25942212E+00,+2.77145105E+00,+2.77289563E+00
-1.65000E-03,+5.62807791E+00,+1.75942213E+00,+2.76516965E+00,+2.74651372E+00
-1.62500E-03,+5.56275128E+00,+8.48052758E+00,+2.75386311E+00,+2.74525744E+00
-1.60000E-03,+5.35169601E+00,+596.10556E-03,+2.75135055E+00,+2.77415191E+00
-1.57500E-03,+5.62305279E+00,+8.48052758E+00,+2.75260683E+00,+2.75028257E+00
-1.55000E-03,+5.91451007E+00,+2.20665830E+00,+2.78527015E+00,+2.76158910E+00
-1.52500E-03,+5.47481158E+00,+3.55087940E+00,+2.78024502E+00,+2.78797101E+00
-1.50000E-03,+5.41199751E+00,+1.80716082E+00,+2.76768221E+00,+2.77038307E+00
-1.47500E-03,+6.03260052E+00,+1.46796484E+00,+2.79029527E+00,+2.73269463E+00
