time (us),phase global (cycle),phase ind2 (cycle),phase diff (cycle)
0,1.54(17)e-3,0.1068(23),-0.1053(23)
500,1.63(58)e-2,6.47(23)e-2,-4.85(62)e-2
1000,3.0(11)e-2,1.8(67)e-3,2.8(13)e-2
1500,5.0(17)e-2,0.345(10),-0.295(20)
1600,5.4(18)e-2,0.316(11),-0.262(21)
2000,8.9(22)e-2,-0.282(13),0.371(26)
3000,0.180(34),0.108(20),7.2(39)e-2
4000,0.210(45),-0.333(27),-0.457(53)
9000,0.48(10),0.330(61),0.15(11)
5000,0.272(56),0.135(34),0.138(66)
6000,0.293(68),-9.9(41)e-2,0.392(79)
7000,0.369(79),8.0(48)e-2,0.290(92)
8000,0.441(90),1.5(55)e-2,0.43(10)
