#PicoHarp 300  Histogram Data			05/02/2023 05:32:43 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	1	2	3	4	5	6	7	
#ns/channel
0.0040	0.0040	0.0080	0.0080	0.0080	0.0080	0.0080	0.0080	
#counts
495	495	1339	1346	1291	1292	1268	1264	
3995	4031	2394	2347	2312	2228	2289	2236	
3965	4143	2262	2320	2299	2237	2293	2183	
4047	3953	2282	2358	2417	2282	2327	2330	
4088	4057	2323	2331	2382	2351	2266	2251	
3982	4078	2344	2387	2343	2365	2298	2344	
4098	4143	2288	2382	2384	2431	2346	2320	
4104	4251	2373	2416	2445	2400	2356	2346	
4125	4136	2319	2392	2373	2447	2355	2410	
4161	4189	2400	2446	2304	2379	2387	2339	
4175	4178	2294	2387	2431	2400	2357	2406	
4239	4282	2396	2447	2430	2311	2337	2440	
4140	4189	2398	2372	2453	2392	2403	2307	
4135	4190	2291	2326	2372	2490	2453	2381	
4135	4285	2379	2428	2352	2342	2440	2452	
4182	4098	2175	2425	2385	2435	2424	2415	
4220	4167	2334	2352	2423	2389	2447	2327	
4138	4153	2373	2372	2363	2392	2472	2336	
4271	4189	2336	2466	2414	2496	2442	2387	
4228	4322	2407	2314	2432	2409	2456	2420	
4178	4298	2307	2369	2360	2495	2431	2415	
4160	4306	2314	2297	2345	2431	2417	2346	
4181	4164	2321	2375	2378	2526	2393	2458	
4256	4194	2303	2388	2408	2497	2381	2433	
4228	4250	2317	2281	2326	2443	2424	2342	
4285	4235	2269	2317	2373	2464	2402	2427	
4240	4287	2298	2240	2355	2492	2420	2471	
4221	4315	2335	2256	2269	2518	2329	2408	
4258	4394	2248	2279	2341	2409	2415	2372	
4276	4317	2124	2251	2280	2463	2367	2342	
4256	4225	2233	2235	2333	2461	2372	2392	
4313	4289	2232	2218	2255	2436	2422	2409	
4177	4207	2220	2195	2321	2391	2441	2299	
4217	4404	2253	2124	2314	2359	2390	2355	
4240	4290	2255	2236	2231	2456	2287	2382	
4333	4379	2148	2146	2332	2403	2350	2397	
4166	4291	2144	2203	2302	2319	2390	2378	
4146	4234	2131	2096	2248	2332	2351	2412	
4267	4169	2082	2259	2159	2360	2350	2267	
4252	4152	2058	2123	2182	2449	2322	2350	
4230	4181	2106	2158	2180	2387	2220	2390	
4181	4255	2080	2134	2232	2282	2383	2319	
4276	4272	2069	2094	2194	2189	2319	2189	
4198	4299	2105	2142	2114	2331	2235	2301	
4264	4224	2049	2095	2090	2306	2291	2242	
4175	4237	2000	2063	2232	2199	2265	2253	
4140	4064	2030	1988	2144	2307	2243	2274	
4161	4237	2070	2033	2046	2198	2228	2231	
4106	4119	2100	2009	2201	2223	2275	2320	
4078	4255	2012	2091	2077	2179	2211	2257	
4093	4180	2058	1967	2051	2300	2208	2198	
4087	4168	2010	2027	2160	2190	2250	2265	
4086	4086	2003	1926	2106	2264	2218	2242	
3994	3981	1943	1979	2052	2175	2261	2210	
4076	4040	1943	1999	2112	2175	2187	2225	
4109	4025	1973	1944	1941	2192	2289	2223	
3955	3946	1954	1934	1948	2200	2240	2120	
3908	3961	1939	1846	2009	2208	2178	2174	
3986	3930	1935	1933	2022	2203	2142	2113	
3935	4041	1956	1909	2054	2166	2200	2124	
3996	3897	1864	1923	1976	2203	2088	2044	
3962	3979	1884	1856	1981	2129	2261	2125	
3940	3852	1921	1924	1929	2055	2114	2102	
3878	3914	1891	1873	1918	2100	2150	2164	
3920	3805	1876	1851	2018	2145	2135	2183	
3870	3926	1916	1788	1972	2145	2201	2118	
3931	3913	1856	1833	1928	2131	2090	2093	
3811	3783	1802	1745	1994	2079	2044	2067	
3710	3864	1794	1855	1934	2107	2136	2068	
3758	3708	1825	1775	1849	2139	2092	2065	
3803	3749	1753	1722	1940	2097	2014	2008	
3782	3716	1837	1803	1876	2066	2012	2027	
3832	3728	1675	1749	1894	1971	2050	2048	
3725	3781	1752	1748	1858	2094	2023	2028	
3753	3775	1694	1743	1921	2142	2100	2057	
3739	3828	1764	1692	1869	2034	2029	2002	
3628	3674	1736	1661	1873	1965	2048	2014	
3734	3687	1681	1688	1815	2038	1986	2005	
3622	3582	1788	1638	1805	2008	2066	2053	
3550	3618	1711	1712	1818	1940	1997	1872	
3576	3575	1683	1630	1764	1975	1924	1942	
3627	3642	1651	1670	1750	2025	1889	1930	
3585	3568	1545	1625	1774	1955	1941	1997	
3609	3537	1623	1578	1632	1894	1896	1976	
3413	3384	1675	1573	1744	1963	1934	1897	
3487	3466	1508	1561	1776	1972	1985	1885	
3395	3483	1630	1558	1762	1795	1828	1907	
3504	3467	1530	1518	1712	1845	1873	1800	
3381	3406	1597	1579	1710	1846	1767	1925	
3377	3408	1629	1475	1660	1929	1795	1803	
3426	3418	1484	1529	1633	1826	1883	1786	
3353	3371	1625	1492	1620	1873	1835	1861	
3343	3301	1505	1489	1646	1905	1847	1877	
3287	3286	1465	1438	1580	1863	1850	1871	
3205	3338	1474	1423	1637	1896	1855	1722	
3265	3253	1500	1364	1616	1853	1876	1822	
3291	3260	1530	1442	1566	1797	1806	1779	
3158	3125	1534	1422	1534	1777	1770	1844	
3315	3254	1424	1385	1591	1719	1750	1767	
3200	3217	1493	1404	1541	1780	1739	1718	
3201	3172	1366	1398	1548	1847	1681	1688	
3221	3199	1442	1383	1506	1794	1738	1693	
3200	3153	1463	1402	1433	1757	1701	1701	
3160	3196	1430	1382	1498	1729	1708	1653	
3116	3063	1406	1396	1506	1775	1680	1776	
3130	3122	1361	1311	1464	1722	1765	1662	
3176	3168	1368	1336	1469	1711	1657	1672	
3118	3175	1390	1343	1437	1649	1654	1643	
2994	3030	1357	1310	1423	1691	1670	1630	
3049	3098	1298	1288	1423	1655	1687	1653	
3081	2981	1292	1262	1394	1697	1637	1633	
3120	3062	1398	1302	1396	1673	1612	1637	
2971	3089	1356	1268	1368	1679	1608	1530	
3069	3023	1290	1208	1440	1631	1602	1570	
3036	2885	1372	1237	1512	1641	1600	1528	
2974	3026	1267	1281	1363	1584	1537	1643	
3017	2910	1270	1243	1439	1644	1546	1539	
2935	2887	1323	1265	1461	1637	1577	1590	
2877	2903	1330	1302	1462	1544	1579	1557	
2874	2918	1383	1251	1419	1574	1517	1577	
2874	2928	1286	1242	1472	1537	1535	1537	
2887	2877	1310	1259	1391	1476	1562	1523	
2816	2910	1304	1222	1386	1566	1510	1576	
2873	2888	1297	1205	1389	1515	1528	1501	
2802	2962	1265	1217	1385	1614	1572	1522	
2811	2828	1252	1217	1343	1518	1469	1545	
2882	2795	1280	1221	1352	1552	1544	1513	
2916	2778	1283	1286	1464	1517	1504	1490	
